Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes
simple,,,"2024 Kids Tablet, 10.1” HD, Ages 3-12 | 64GB, 13-Hour Battery, Parental Controls & Teacher-Approved Content,Blue",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,129.99,laptops,,,https://m.media-amazon.com/images/I/81SIJ3myqwL._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"Blackview Tab 60 WiFi 2024 Android 14 Tablet, 12(4+8) GB+128GB 2TB Expand, Wi-Fi 6 Model, 10.1 inch Tablet with HD+IPS Display, 5100mAh, Dual Speakers and Camera, BT5.3, Google GMS, 2.0GHz CPU, Blue",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,109.99,laptops,,,https://m.media-amazon.com/images/I/71Z0u5R5hTL._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"UMIDIGI 2K 11inch Rugged Tablet Android 13,Active T1 Octa-core 16GB RAM+128GB ROM,10000mAh,16+16+8MP Camera Waterproof Tablet with SIM Card Slot Unlocked/Stylus Pen/4G LTE/WiFi-5/BT 5.0/GPS,Warranty",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,186.99,laptops,,,https://m.media-amazon.com/images/I/71VnVyGIUdL._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,159.6,laptops,,,https://m.media-amazon.com/images/I/61d46oYQgdL._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,159.6,laptops,,,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"Samsung Galaxy Tab S9 FE 10.9” 128GB WiFi Android Tablet, Large Display, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version,2023, Gray",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,159.6,laptops,,,https://m.media-amazon.com/images/I/417bx91cc8L._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1263.84,laptops,,,https://m.media-amazon.com/images/I/81GrCeuCzxL._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,649.99,laptops,,,https://m.media-amazon.com/images/I/71F-Wcriq4L._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,176.0,laptops,,,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"Samsung Galaxy Tab S6 Lite 10.4' 64GB WiFi Android Tablet, S Pen Included, Gaming Ready, Long Battery Life, Slim Metal Design, Expandable Storage, US Version, Oxford Gray, Amazon Exclusive",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,159.6,laptops,,,https://m.media-amazon.com/images/I/71-hJGtkLWL._AC_UL320_.jpg,,,,,,,,,0,
simple,,,"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,267.97,laptops,,,https://m.media-amazon.com/images/I/71wKJVtV-+L._AC_UL320_.jpg,,,,,,,,,0,
